Index,Source,WordCount
1,medline15n0201.xml,67
2,medline15n0201.xml,133
3,medline15n0201.xml,127
4,medline15n0201.xml,90
5,medline15n0201.xml,112
6,medline15n0201.xml,40
7,medline15n0201.xml,70
8,medline15n0201.xml,149
9,medline15n0201.xml,36
10,medline15n0201.xml,197
11,medline15n0201.xml,168
12,medline15n0201.xml,180
13,medline15n0201.xml,276
14,medline15n0201.xml,155
15,medline15n0201.xml,224
16,medline15n0201.xml,181
17,medline15n0201.xml,241
18,medline15n0201.xml,205
19,medline15n0201.xml,69
20,medline15n0201.xml,94
21,medline15n0201.xml,170
22,medline15n0201.xml,61
23,medline15n0201.xml,133
24,medline15n0201.xml,91
25,medline15n0201.xml,90
26,medline15n0201.xml,47
27,medline15n0201.xml,89
28,medline15n0201.xml,46
29,medline15n0201.xml,271
30,medline15n0201.xml,184
31,medline15n0201.xml,51
32,medline15n0201.xml,187
33,medline15n0201.xml,137
34,medline15n0201.xml,169
35,medline15n0201.xml,173
36,medline15n0201.xml,230
37,medline15n0201.xml,234
38,medline15n0201.xml,222
39,medline15n0201.xml,169
40,medline15n0201.xml,161
41,medline15n0201.xml,188
42,medline15n0201.xml,184
43,medline15n0201.xml,177
44,medline15n0201.xml,125
45,medline15n0201.xml,206
46,medline15n0201.xml,172
47,medline15n0201.xml,176
48,medline15n0201.xml,169
49,medline15n0201.xml,192
50,medline15n0201.xml,175
51,medline15n0201.xml,191
52,medline15n0201.xml,164
53,medline15n0201.xml,180
54,medline15n0201.xml,195
55,medline15n0201.xml,218
56,medline15n0201.xml,244
57,medline15n0201.xml,153
58,medline15n0201.xml,164
59,medline15n0201.xml,228
60,medline15n0201.xml,178
61,medline15n0201.xml,184
62,medline15n0201.xml,96
63,medline15n0201.xml,210
64,medline15n0201.xml,190
65,medline15n0201.xml,164
66,medline15n0201.xml,190
67,medline15n0201.xml,182
68,medline15n0201.xml,194
69,medline15n0201.xml,192
70,medline15n0201.xml,214
71,medline15n0201.xml,181
72,medline15n0201.xml,193
73,medline15n0201.xml,181
74,medline15n0201.xml,144
75,medline15n0201.xml,205
76,medline15n0201.xml,160
77,medline15n0201.xml,193
78,medline15n0201.xml,254
79,medline15n0201.xml,164
80,medline15n0201.xml,191
81,medline15n0201.xml,172
82,medline15n0201.xml,93
83,medline15n0201.xml,171
84,medline15n0201.xml,169
85,medline15n0201.xml,124
86,medline15n0201.xml,195
87,medline15n0201.xml,162
88,medline15n0201.xml,218
89,medline15n0201.xml,175
90,medline15n0201.xml,199
91,medline15n0201.xml,175
92,medline15n0201.xml,171
93,medline15n0201.xml,218
94,medline15n0201.xml,212
95,medline15n0201.xml,205
96,medline15n0201.xml,210
97,medline15n0201.xml,132
98,medline15n0201.xml,239
99,medline15n0201.xml,201
100,medline15n0201.xml,229
101,medline15n0201.xml,184
102,medline15n0201.xml,136
103,medline15n0201.xml,115
104,medline15n0201.xml,109
105,medline15n0201.xml,170
106,medline15n0201.xml,130
107,medline15n0201.xml,161
108,medline15n0201.xml,138
109,medline15n0201.xml,148
110,medline15n0201.xml,211
111,medline15n0201.xml,143
112,medline15n0201.xml,202
113,medline15n0201.xml,162
114,medline15n0201.xml,210
115,medline15n0201.xml,159
116,medline15n0201.xml,134
117,medline15n0201.xml,96
118,medline15n0201.xml,219
119,medline15n0201.xml,165
120,medline15n0201.xml,220
121,medline15n0201.xml,136
122,medline15n0201.xml,122
